zipcode,1,2,3,4,5,6,Total_Returns,Bracket_1_Percentage,Bracket_2_Percentage,Bracket_3_Percentage,Bracket_4_Percentage,Bracket_5_Percentage,Bracket_6_Percentage,average
11216,11160.0,8340.0,4940.0,2220.0,2120.0,510.0,29290.0,0.3810174120860362,0.28473881870945716,0.1686582451348583,0.07579378627517924,0.07237965175827928,0.017412086036189826,2.226015705018778
11217,4350.0,3330.0,2980.0,1990.0,3340.0,2520.0,18510.0,0.23500810372771475,0.17990275526742303,0.16099405726634253,0.10750945434900054,0.1804430037817396,0.13614262560777957,3.226904376012966
11218,13840.0,7230.0,4320.0,2710.0,3740.0,1250.0,33090.0,0.4182532487156241,0.2184950135992747,0.13055303717135086,0.0818978543366576,0.11302508310667876,0.037775763070414026,2.3662737987307345
11219,21070.0,6970.0,2670.0,1420.0,1670.0,620.0,34420.0,0.6121441022661244,0.20249854735618827,0.07757117954677513,0.04125508425334108,0.04851830331202789,0.01801278326554329,1.7655432887855897
11220,37090.0,9750.0,3620.0,1680.0,1740.0,390.0,54270.0,0.6834346784595541,0.179657269209508,0.06670351943983785,0.03095632946379215,0.032061912658927584,0.007186290768380321,1.5701124009581722
11221,18430.0,11050.0,5140.0,1960.0,1710.0,300.0,38590.0,0.47758486654573723,0.28634361233480177,0.13319512827157295,0.05079036019694221,0.04431199792692407,0.007774034724021767,1.9212231147965793
11222,6130.0,5110.0,4470.0,2520.0,3290.0,990.0,22510.0,0.27232341181697023,0.22701021768103066,0.19857840959573522,0.11195024433585073,0.1461572634384718,0.043980453131941356,2.7645490892936473
11223,15710.0,7390.0,3680.0,2240.0,2620.0,1140.0,32780.0,0.47925564368517387,0.22544234289200732,0.11226357535082367,0.06833435021354485,0.07992678462477121,0.03477730323367907,2.148566198901769
11224,10160.0,4790.0,2290.0,1310.0,1320.0,260.0,20130.0,0.5047193243914555,0.23795330352707403,0.1137605563835072,0.06507699950322901,0.06557377049180328,0.012916045702930949,1.9875807252856432
11225,12580.0,8620.0,4890.0,2150.0,1850.0,450.0,30540.0,0.4119187950229208,0.2822527832351015,0.16011787819253437,0.07039947609692207,0.060576293385723644,0.014734774066797643,2.1296660117878194
11226,24700.0,15080.0,6840.0,2900.0,2250.0,500.0,52270.0,0.47254639372489,0.2885020088004592,0.1308590013392003,0.055481155538549834,0.043045724124736943,0.009565716472163765,1.9366749569542756
11228,8160.0,3810.0,2390.0,1680.0,2480.0,830.0,19350.0,0.42170542635658914,0.19689922480620156,0.1235142118863049,0.08682170542635659,0.1281653746770026,0.04289405684754522,2.431524547803618
11229,14790.0,8030.0,4710.0,3050.0,4400.0,1290.0,36270.0,0.4077750206782465,0.2213950923628343,0.12985938792390406,0.08409153570443893,0.12131237937689551,0.03556658395368073,2.396470912599945
11230,15420.0,8150.0,4400.0,2490.0,3340.0,1530.0,35330.0,0.436456269459383,0.23068213982451174,0.12454005094820265,0.07047834701386924,0.0945372204924993,0.043305972261534105,2.2858760260401927
11231,4450.0,2920.0,2250.0,1610.0,3200.0,2500.0,16930.0,0.26284701712935615,0.1724748966331955,0.13290017720023628,0.09509746012994684,0.18901358535144713,0.14766686355581807,3.217956290608387
11232,6650.0,3140.0,1650.0,710.0,800.0,160.0,13110.0,0.5072463768115942,0.2395118230358505,0.12585812356979406,0.05415713196033562,0.06102212051868802,0.012204424103737605,1.9588100686498857
11233,14710.0,8860.0,4200.0,1840.0,1460.0,240.0,31310.0,0.46981794953688916,0.28297668476525073,0.13414244650271478,0.05876716703928457,0.04663046949856276,0.0076652826572979876,1.9524113701692751
11234,14670.0,9620.0,6220.0,4340.0,6040.0,1540.0,42430.0,0.34574593448032054,0.226726372849399,0.14659439076125383,0.10228611831251473,0.14235210935658732,0.036295074239924584,2.577657317935423
11235,16690.0,8230.0,4850.0,3080.0,4070.0,1320.0,38240.0,0.4364539748953975,0.21521966527196654,0.1268305439330544,0.08054393305439331,0.10643305439330544,0.034518828451882845,2.3088389121338913
11236,19840.0,13320.0,7030.0,3810.0,3560.0,340.0,47900.0,0.41419624217119,0.2780793319415449,0.14676409185803757,0.07954070981210856,0.07432150313152401,0.007098121085594989,2.143006263048017
11237,11390.0,7300.0,3100.0,1140.0,960.0,130.0,24020.0,0.474188176519567,0.3039134054954205,0.12905911740216486,0.04746044962531224,0.03996669442131557,0.005412156536219817,1.8913405495420483
11238,8100.0,6730.0,5490.0,3250.0,4510.0,2180.0,30260.0,0.2676801057501652,0.2224058162590879,0.18142762723066755,0.10740251156642432,0.14904163912756113,0.07204230006609386,2.8638466622604093
11239,2820.0,2040.0,1260.0,530.0,300.0,0.0,6950.0,0.40575539568345326,0.2935251798561151,0.18129496402877698,0.07625899280575539,0.04316546762589928,0.0,2.0575539568345325
11354,17920.0,5450.0,2820.0,1620.0,1830.0,430.0,30070.0,0.5959428001330229,0.18124376454938476,0.09378117725307615,0.05387429331559694,0.0608579980046558,0.014299966744263386,1.8453608247422677
11355,34930.0,8220.0,3480.0,1820.0,1880.0,350.0,50680.0,0.6892265193370166,0.1621941594317285,0.06866614048934491,0.03591160220994475,0.037095501183898975,0.006906077348066298,1.59017363851618
11356,5940.0,2850.0,1520.0,830.0,1080.0,170.0,12390.0,0.4794188861985472,0.23002421307506055,0.12267958030669895,0.06698950766747377,0.08716707021791767,0.013720742534301856,2.09362389023406
11357,6190.0,3530.0,2730.0,2170.0,3860.0,1280.0,19760.0,0.3132591093117409,0.17864372469635628,0.13815789473684212,0.10981781376518218,0.19534412955465588,0.06477732793522267,2.889676113360324
11358,8050.0,3690.0,2270.0,1520.0,2550.0,740.0,18820.0,0.4277364505844846,0.19606801275239108,0.1206163655685441,0.08076514346439957,0.13549415515409138,0.039319872476089264,2.4181721572794896
11360,2730.0,1540.0,1400.0,1210.0,2260.0,860.0,10000.0,0.273,0.154,0.14,0.121,0.226,0.086,3.1310000000000002
11361,4860.0,2690.0,1910.0,1380.0,2220.0,710.0,13770.0,0.35294117647058826,0.19535221496005808,0.13870733478576616,0.10021786492374728,0.16122004357298475,0.05156136528685548,2.6761074800290485
11362,2550.0,1530.0,1270.0,950.0,1830.0,590.0,8720.0,0.29243119266055045,0.17545871559633028,0.14564220183486237,0.10894495412844037,0.2098623853211009,0.0676605504587156,2.9713302752293576
11363,940.0,570.0,440.0,330.0,640.0,460.0,3380.0,0.2781065088757396,0.16863905325443787,0.1301775147928994,0.09763313609467456,0.1893491124260355,0.13609467455621302,3.159763313609467
11364,5930.0,3380.0,2490.0,1900.0,2990.0,850.0,17540.0,0.33808437856328394,0.19270239452679588,0.1419612314709236,0.10832383124287344,0.17046750285062715,0.04846066134549601,2.7257696693272524
11365,8540.0,4450.0,2660.0,1960.0,2790.0,610.0,21010.0,0.40647310804378867,0.21180390290337933,0.12660637791527843,0.09328891004283675,0.1327939076630176,0.029033793431699192,2.4212279866730126
11366,2560.0,1250.0,870.0,640.0,1090.0,420.0,6830.0,0.37481698389458273,0.18301610541727673,0.1273792093704246,0.09370424597364568,0.1595900439238653,0.06149341142020498,2.664714494875549
